Site	Lenght	L/min		Site	Lenght	L/min		Site	Ostron (L/min)	 Musslor (L/min)		Depth grid															
6	6.50	0.03049635		12	7.5	0.00922625																					
6	6.00	0.0300537		12	6	0.0085936																					
6	6.00	0.0300537		12	3.5	0.0085936																					
6	9.00	0.0327096		12	5	0.0123895																					
6	9.00	0.0327096		12	5.5	0.0123895																					
6	5.00	0.0291684		12	5	0.0073283																					
6	7.50	0.03138165		12	5.5	0.01049155																					
6	4.00	0.0282831		12	6	0.006063																					
6	5.50	0.02961105		12	6	0.00796095																					
6	2.50	0.02695515		12	5.5	0.00416505																					
6	7.00	0.030939		12	5.5	0.0098589																					
6	5.00	0.0291684		12	3.5	0.0073283																					
6	6.50	0.03049635		12	4	0.00922625																					
6	5.00	0.0291684		12	6.5	0.0073283																					
6	7.00	0.030939		12	6	0.0098589																					
6	4.00	0.0282831		12	5	0.006063																					
6	4.50	0.02872575		12	6	0.00669565																					
6	6.00	0.0300537		12	3.5	0.0085936																					
6	5.00	0.0291684		12	5	0.0073283																					
6	3.00	0.0273978		12	4	0.0047977																					
6	6.00	0.0300537		12	4.5	0.0085936																					
6	4.00	0.0282831		12	5	0.006063																					
6	13.00	0.0362508		12	3.5	0.0174507																					
6	4.00	0.0282831		12	4.5	0.006063																					
6	4.50	0.02872575		12	6	0.00669565																					
7	8.50	0.03226695		12	2.5	0.01175685																					
7	10.00	0.0335949		12	7.5	0.0136548																					
7	5.50	0.02961105		12	4	0.00796095																					
7	7.50	0.03138165		12	7	0.01049155																					
7	6.00	0.0300537		12	6.5	0.0085936																					
7	10.00	0.0335949		12	7	0.0136548																					
7	7.00	0.030939		12	4.5	0.0098589																					
7	5.00	0.0291684		12	5	0.0073283																					
7	7.00	0.030939		12	5.5	0.0098589																					
7	15.00	0.0380214		12	4	0.0199813																					
7	10.00	0.0335949		12	5	0.0136548																					
7	6.00	0.0300537		12	5.5	0.0085936																					
7	6.00	0.0300537		12	4	0.0085936																					
7	5.50	0.02961105		12	3.5	0.00796095																					
7	11.00	0.0344802		12	1	0.0149201																					
7	10.00	0.0335949		12	5	0.0136548																					
7	4.00	0.0282831		12	5	0.006063																					
7	4.50	0.02872575		12	4.5	0.00669565																					
7	6.50	0.03049635		12	8	0.00922625																					
7	4.00	0.0282831		12	5.5	0.006063																					
7	6.00	0.0300537		12	6.5	0.0085936																					
7	3.00	0.0273978		12	6	0.0047977																					
7	6.00	0.0300537		12	4	0.0085936																					
7	5.50	0.02961105		12	5	0.00796095																					
7	8.00	0.0318243		12	7	0.0111242																					
7	6.00	0.0300537		12	2.5	0.0085936																					
7	5.50	0.02961105		12	8	0.00796095																					
7	3.50	0.02784045		12	6	0.00543035																					
7	5.00	0.0291684		12	5.5	0.0073283																					
7	4.50	0.02872575		12	5.5	0.00669565																					
7	7.50	0.03138165		12	3	0.01049155																					
7	5.50	0.02961105		12	7	0.00796095																					
7	5.50	0.02961105		12	5.5	0.00796095																					
7	5.50	0.02961105		12	6	0.00796095																					
7	4.00	0.0282831		12	4	0.006063																					
8	4.50	0.02872575		12	4	0.00669565																					
8	7.00	0.030939		12	7	0.0098589																					
8	8.50	0.03226695		12	6	0.01175685																					
9	8.50	0.03226695		12	5	0.01175685																					
